	No,PTID,ADID,Make,Model,Trim,Year,Category,Description,Price,Vin,StockNo,OdoMeter,Thumbnail,ExteriorColor,InteriorColor,BodyStyle,FuelType,DriveType,Transmission,Doors,Condition,SoldTime,UpdateTime,CreateTime
1,1,36060670,Toyota,Highlander,LIMITED,2016,"Sport Utility","SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL DECEMBER 02,2020/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",40995.0000,5TDDKRFH4GS227454,U6839,19586,http://azr.cdnmedia.autotrader.ca/5/photos/import/201801/1023/1220/7183f669-d7fc-47b3-8312-7f9f640718d0.jpg,Blue,Black,SUV,Gas,AWD,Automatic,5,,02/6/2018,"01/29/2018 15:52:50","11/01/2017 14:19:06"
2,37,37066839,Toyota,Highlander,LIMITED,2015,"Sport Utility","SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL OCTOBER 30,2019/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",37995.0000,5TDDKRFH9FS095533,U6891,75039,http://azr.cdnmedia.autotrader.ca/5/photos/201802/0119/4417/2661640c-09e9-47de-952a-c2a4e973e5bf.jpg,White,Black,SUV,Gas,AWD,Automatic,4,,02/6/2018,"02/01/2018 19:46:25","01/29/2018 15:56:15"
3,16,36662569,Toyota,RAV4,XLE,2015,"Sport Utility","SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL APRIL 07,2020/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",24995.0000,2T3RFREV3FW317841,31878A,63620,http://azr.cdnmedia.autotrader.ca/5/photos/import/201802/0722/5109/138bbc7a-3f11-41d8-b76a-64853b0f0d93.jpg,Grey,"Dark Grey",SUV,Gas,AWD,Automatic,4,,02/14/2018,"02/07/2018 22:46:45","12/21/2017 20:28:20"
4,18,36769170,Toyota,Corolla,S,2016,Car,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL DECEMBER 22,2020  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",16995.0000,2T1BURHE9GC581841,U6874,38954,http://azr.cdnmedia.autotrader.ca/5/photos/201801/1821/1900/86d01e9d-43ac-427d-b915-debee87852f9.jpg,Blue,"Dark Grey",Sedan,,FWD,"6 Speed Manual",4,,02/14/2018,"01/18/2018 21:26:17","01/03/2018 14:30:07"
5,36,37036372,Toyota,Corolla,"LE UPGRADE, SUN,ALLOY",2016,Car,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL NOVEMBER 07,2021/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",16995.0000,2T1BURHE2GC586895,U6890,39387,http://azr.cdnmedia.autotrader.ca/5/photos/201802/0120/3757/e23cf9fe-1db9-41ea-a86f-4a036f2391de.jpg,"Green ",Beige,Sedan,,FWD,Automatic,4,,02/14/2018,"02/01/2018 20:41:49","01/26/2018 15:00:00"
6,41,37108348,Toyota,Corolla,"LE UPGRADE, PUSH START",2009,Car,"SOLD CERTIFIED   PLUS HST AND LICENSING    PUSH BUTTON START, ALLOY, SUNROOF    *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",9995.0000,2T1BU40E69C096719,31975A,107128,,SILVER,"Light Grey",Sedan,,FWD,Automatic,4,,02/14/2018,"02/01/2018 21:36:04","02/01/2018 15:02:17"
7,7,36377646,Toyota,Sienna,"7 PASSENGER",2015,"Minivan/Passenger Van","SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL MARCH 30,2020/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",22995.0000,5TDZK3DC1FS590741,31841A,82650,http://azr.cdnmedia.autotrader.ca/5/photos/import/201712/0301/3317/a19d7f75-0332-4652-8733-5e957c11f957.jpg,Grey,"Light Grey",,Gas,FWD,Automatic,4,,02/16/2018,"02/07/2018 22:49:23","11/28/2017 19:25:32"
8,26,36943275,Toyota,Tundra,"Platinum 5.7L V8, 1794 EDITION",2017,Truck,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL   *************************************************  COMPANY DEMO CASH PURCHASE OR REGULAR BANK FINANCING ONLY  Carproof History Report OR UCDA claims report provided with each vehicle.",49995.0000,,31393A,250,http://azr.cdnmedia.autotrader.ca/5/photos/201802/0120/2436/a2f121d9-4581-4fb1-b3b5-48e964dd73b1.jpg,White,"Dark Grey",,,4x4,Automatic,4,,02/16/2018,"02/01/2018 20:31:37","01/18/2018 20:58:19"
9,9,36483882,Toyota,Corolla,"S, NAVIGATION, LEATHER",2015,Car,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL NOVEMBER 10,2019/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",18995.0000,2T1BURHE7FC272979,U6858A,27804,http://azr.cdnmedia.autotrader.ca/5/photos/import/201802/0722/3255/832e720b-9b53-4ef0-bf24-100ad5f23b50.jpg,Blue,"Dark Grey",Sedan,Gas,FWD,Automatic,4,,02/20/2018,"02/07/2018 22:27:50","12/06/2017 17:25:10"
10,35,37036363,Toyota,Sienna,"LIMITED AWD LOADED",2015,"Minivan/Passenger Van","SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL DECEMBER 28,2020/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",37995.0000,5TDDK3DC5FS127723,U6889,27655,http://azr.cdnmedia.autotrader.ca/5/photos/201802/0119/1153/39ec6eda-b405-4ca5-a361-ed57686f57d2.jpg,Beige,Beige,,,,Automatic,4,,02/20/2018,"02/01/2018 19:24:11","01/26/2018 14:58:14"
11,47,37279382,Toyota,Matrix,XRS,2011,Car,"SOLD CERTIFIED   PLUS HST AND LICENSING    *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",11995.0000,2T1ME4EE2BC006857,U6895,69704,,Grey,,Hatchback,,FWD,Automatic,5,,02/20/2018,"02/15/2018 19:11:51","02/15/2018 19:16:56"
12,10,36483888,Toyota,Matrix,BASE,2014,Car,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL AUGUST 20,2019/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",15995.0000,2T1KU4EE7EC136521,31438A,47325,http://azr.cdnmedia.autotrader.ca/5/photos/import/201802/0722/5013/7ec069ab-96e4-4178-ab54-a1f0dfd77212.jpg,White,"Light Grey",Hatchback,Gas,FWD,Automatic,5,,02/22/2018,"02/07/2018 22:45:09","12/06/2017 17:25:50"
13,25,36939012,Toyota,Tacoma,"V6 4X4 DOUBLE CAP",2013,Truck,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL   *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",28995.0000,5TFMU4FN1DX014888,U6831A,19954,http://azr.cdnmedia.autotrader.ca/5/photos/import/201801/2714/4711/3b0281bf-5c44-47ba-81c0-bb052e304d5d.jpg,,"Dark Grey","Crew Cab",Gas,4x4,Automatic,4,,02/22/2018,"01/27/2018 14:42:06","01/18/2018 14:19:17"
14,48,37340444,Toyota,Yaris,LE,2008,Car,"SOLD CERTIFIED  PLUS HST AND LICENSING *************************************************Carproof History Report OR UCDA claims report provided with each vehicle.",5995.0000,JTDKT923185166022,31506B,42182,http://azr.cdnmedia.autotrader.ca/5/photos/201802/2219/3206/c4080a00-ee20-43b6-a19a-b6c2f233bd43.jpg,White,"Dark Grey",Hatchback,,FWD,Automatic,5,,02/25/2018,"02/22/2018 19:35:24","02/20/2018 14:34:13"
15,30,36995810,Lexus,"NX 200T","Executive Package",2017,"Sport Utility","EXECUTIVE PACKAGE, LOADED, 10 Speakers Power Back Door Dynamic Radar Cruise Control Qi-compatible wireless smartphone charging with charge indicator light Garage Door Opener Clearance and Backup Sensors 120V/100-watt Power Outlet Power slide / tilt Moonroof Aluminum Roof Rails Remote Touch Interface Voice-activated SD Card Based Navigation System with Remote Touch Head-Up Display Auto Leveling Headlamp System LED Headlamps - High Beam Premium LED Headlamps Memory Mirrors Auto-dimming Side View Mirrors Pre Collision System Rear Cross Traffic Alert Lane Departure Alert Blind Spot Monitor System Auto High Beam Power Tilt & Telescopic Steering Wheel Heated Steering Wheel Leather Seat Surfaces Heated & Ventilated Front Seats Driver Seat Memory System Power Switches for Rear Seat Remote Release on Front Dashboard and in Cargo Area Woodgrain Trim Unique 18 Alloy Wheels Rain Sensing Wipers.      SOLD CERTIFIED   PLUS HST AND LICENSING    *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",47995.0000,JTJBARBZ5H2125126,U6884,9702,http://azr.cdnmedia.autotrader.ca/5/photos/import/201802/0523/2844/8b850972-bcca-413c-8e34-c47e7397b43e.jpg,White,Black,SUV,Gas,AWD,Automatic,4,,02/20/2018,"02/05/2018 23:23:35","01/23/2018 14:44:05"
16,8,36483724,Toyota,Sienna,"V6 7 Passenger (A6)",2013,"Minivan/Passenger Van","SOLD CERTIFIED   PLUS HST AND LICENSING    *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",12995.0000,5TDZK3DC6DS287421,23985A,245048,,SILVER,"Light Grey",,,FWD,Automatic,4,,02/26/2018,"12/06/2017 16:57:12","12/06/2017 17:04:03"
17,28,36956323,Toyota,4Runner,"LIMITED 7PASSENGER",2017,"Sport Utility","SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL   *************************************************  COMPANY DEMO  Carproof History Report OR UCDA claims report provided with each vehicle.",46995.0000,,31376A,13950,http://azr.cdnmedia.autotrader.ca/5/photos/201802/0819/3346/78f2fdfc-de6d-45d1-a6c3-ea9f06a67e09.jpg,White,Black,SUV,Gas,4x4,"5 Speed Automatic",4,,02/27/2018,"02/08/2018 19:33:20","01/19/2018 17:19:56"
18,3,36256558,Toyota,Corolla,S,2015,Car,"SOLD CERTIFIED     PLUS HST AND LICENSING    TOYOTA CERTIFIED VEHICLE    FACTORY POWER TRAIN WARRANTY TILL JULY 21,2020/100,000KM    *************************************************    Carproof History Report OR UCDA claims report provided with each vehicle.",14995.0000,2T1BURHE3FC435417,U6848,78735,http://azr.cdnmedia.autotrader.ca/5/photos/import/201802/0515/4531/3825bf16-6ad8-4f4d-b32d-9f55de28f713.jpg,Black,"Dark Grey",Sedan,Gas,FWD,Automatic,4,,02/28/2018,"02/14/2018 14:06:21","11/17/2017 18:20:41"
19,46,37263858,Toyota,Corolla,LE,2016,Car,"SOLD CERTIFIED PLUS HST AND LICENSINGTOYOTA CERTIFIED VEHICLEFACTORY POWER TRAIN WARRANTY TILL DECEMBER 29,2020/100,000KM*************************************************Carproof History Report OR UCDA claims report provided with each vehicle.",16995.0000,2T1BURHE9GC565798,31693A,26885,http://azr.cdnmedia.autotrader.ca/5/photos/201802/1419/3304/7ef4468d-d419-4cd8-bc7b-192ce0aeeb0c.jpg,White,"Light Grey",Sedan,,FWD,Automatic,4,,02/28/2018,"02/14/2018 19:38:56","02/14/2018 14:10:30"
20,42,37108354,Toyota,Corolla,LE,2014,Car,"SOLD CERTIFIED   PLUS HST AND LICENSING    *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",15995.0000,2T1BURHE4EC048597,31835B,94210,http://azr.cdnmedia.autotrader.ca/5/photos/201802/0121/0031/1e1dd005-a198-4605-bec8-33e32639921b.jpg,White,"Light Grey",Sedan,,FWD,Automatic,4,,3/1/2018,"02/01/2018 21:02:15","02/01/2018 15:03:41"
21,24,36924652,Lexus,"IS 250","F SPORT PACKAGE AWD",2014,Car,"SOLD CERTIFIED   PLUS HST AND LICENSING    *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",29995.0000,JTHCF1D27E5007968,U6875,35311,http://azr.cdnmedia.autotrader.ca/5/photos/import/201801/2714/4432/827d654c-96f1-47b6-b7f2-ab235ae4f53a.jpg,White,Black,Sedan,Gas,AWD,Automatic,4,,3/1/2018,"02/07/2018 22:43:32","01/17/2018 15:35:36"
22,45,37171142,Toyota,RAV4,XLE,2015,"Sport Utility","SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL JUNE 18,2020/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",26995.0000,2T3RFREV7FW336635,31979A,56796,http://azr.cdnmedia.autotrader.ca/5/photos/201802/0819/1733/ad39e4f7-af8c-4290-92f5-1594aff0fa37.jpg,White,"Light Grey",SUV,,AWD,Automatic,4,,03/02/2018,"02/08/2018 19:21:45","02/06/2018 15:11:11"
23,11,36483906,Toyota,RAV4,LE,2016,"Sport Utility","SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL MARCH 17,2021/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",21495.0000,2T3ZFREV7GW265499,U6860,51589,http://azr.cdnmedia.autotrader.ca/5/photos/import/201802/0722/5246/84033af6-1676-4e35-85cf-fc12e159081b.jpg,Black,"Dark Grey",SUV,Gas,FWD,"6 Speed Automatic",4,,03/05/2018,"02/07/2018 22:48:13","12/06/2017 17:28:59"
24,6,36362942,Toyota,Corolla,LE,2015,Car,"SOLD CERTIFIED     PLUS HST AND LICENSING    TOYOTA CERTIFIED VEHICLE    FACTORY POWER TRAIN WARRANTY TILL     *************************************************    Carproof History Report OR UCDA claims report provided with each vehicle.",14995.0000,2T1BURHE2FC419693,31798A,63744,http://azr.cdnmedia.autotrader.ca/5/photos/import/201803/0116/2925/e851f853-7134-4e6a-9981-6039cc4e8c6a.jpg,"Burgundy ",Beige,Sedan,Gas,FWD,Automatic,4,,03/05/2018,"03/01/2018 16:24:18","11/27/2017 16:35:48"
25,53,37374543,Subaru,Forester,2.5i,2015,"Sport Utility","SOLD CERTIFIED  PLUS HST AND LICENSING *************************************************Carproof History Report OR UCDA claims report provided with each vehicle.",19995.0000,JF2SJCCC5FH806800,32005A,44968,http://azr.cdnmedia.autotrader.ca/5/photos/201803/0119/3539/60f41881-0738-4b64-a5ae-c34bfa65e947.jpg,White,"Light Grey",SUV,,AWD,Automatic,4,,03/05/2018,"03/01/2018 19:39:15","02/22/2018 17:12:51"
26,65,37503660,Toyota,Sienna,"SE 8 Passenger",2015,"Minivan/Passenger Van","SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL JULY 28,2020/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",29995.0000,5TDXK3DC4FS571740,32022A,31430,,Black,"Dark Grey",,,FWD,Automatic,4,,03/05/2018,"03/02/2018 18:08:44","03/02/2018 18:05:30"
27,12,36540905,Hyundai,Elantra,"Sport Appearance",2016,Car,"SOLD CERTIFIED     PLUS HST AND LICENSING        *************************************************    Carproof History Report OR UCDA claims report provided with each vehicle.",12495.0000,KMHDH4AE4GU553390,U6854A,54394,http://azr.cdnmedia.autotrader.ca/5/photos/import/201802/0722/4027/2614eb81-0cbb-44cc-8880-9b3bf1087285.jpg,Grey,Black,Sedan,Gas,FWD,Automatic,4,,03/06/2018,"03/05/2018 16:41:29","12/11/2017 14:40:41"
28,66,37503677,Toyota,Highlander,XLE,2014,"Sport Utility","SOLD CERTIFIED   PLUS HST AND LICENSING    *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",0.0000,5TDJKRFH3ES018268,U6899,123356,,Black,Black,SUV,,AWD,Automatic,4,,03/06/2018,"03/02/2018 18:02:42","03/02/2018 18:07:53"
29,56,37463009,Toyota,Camry,LE,2007,Car,"SOLD CERTIFIED   PLUS HST AND LICENSING    *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",6995.0000,4T1BE46K97U004332,31673A,152869,,Beige,Beige,Sedan,,FWD,Automatic,4,,03/06/2018,"02/28/2018 14:03:38","02/28/2018 14:09:46"
30,68,37504119,Toyota,RAV4,LE,2014,"Sport Utility","SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL OCTOBER 24,2019/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",20995.0000,2T3BFREV1EW207595,32018A,42188,,Blue,"Dark Grey",SUV,,AWD,Automatic,4,,03/08/2018,"03/02/2018 18:08:06","03/02/2018 19:15:30"
31,13,36585746,Toyota,C-HR,"XLE PREMIUM, ALLOY,PUSH BUTTON",2018,"Sport Utility","SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL JULY 12,2022/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",24995.0000,NMTKHMBX6JR018776,U6868,12910,http://azr.cdnmedia.autotrader.ca/5/photos/import/201802/0614/2706/eb3ee929-f5e0-4b83-a6be-1c8650be1190.jpg,Grey,"Dark Grey",SUV,Gas,FWD,Automatic,4,,03/09/2018,"02/06/2018 14:21:58","12/14/2017 20:00:18"
